brand,model,Style,Range in Km/Full Charge,Transmission,VehicleType,Intermediate Price,Capacity_seats,BootSpace,TopSpeed,AccelSec,Efficiency,BaseModel,TopModel
Tata,Nexon EV,Compact SUV,312,Automatic,Electric,1569500,5,350 L,120,5.7,119,XM ,Dark XZ Plus LUX 
Tata,Tigor EV,Subcompact Sedan,306,Automatic,Electric,1306500,5,316 L,80,13.16,,XE ,XZ Plus Dual Tone 
Tata,Nexon EV Max,Compact SUV,437,Automatic,Electric,1849000,5,350 L,120,5.7,,XZ Plus 3.3 kW ,XZ Plus Lux 7.2 kW 
MG,ZS EV,Compact SUV,419,Automatic,Electric,2393500,5,448 L,140,8.5,,Excite ,Exclusive 
Hyundai,Kona Electric,Compact SUV,452,Automatic,Electric,2388500,5,na,165,9.9,,Premium Dual Tone ,HSE 
Jaguar,I-Pace,Premium Midsize Sedan,470,Automatic,Electric,10900000,5,656 L,200,4.3,,S ,Sportback 55 
Audi,E-Tron GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,250,4.1,,Quattro ,na
BYD E6,BYD E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,160,7.9,,STD ,na
Mercedes,Benz EQC,Compact SUV,471,Automatic,Electric,10000000,5,na,210,4.9,,na,na
BMW,BMW iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,na,200,6.1,,na,na
Porsche Taycan,Porsche Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,na,350,5.4,,na,na
Audi,E-Tron,Compact SUV,400,Automatic,Electric,11000000,5,660 L,170,4.1,,na,na
Tesla ,Model 3 Long Range Dual Motor,Sedan,450,Automatic,Electric,4974336.8,5,,233,4.6,161,,
Volkswagen ,ID.3 Pure,Hatchback,270,Automatic,Electric,2689800,5,,160,10,167,,
Polestar ,2,Liftback,400,Automatic,Electric,5060410.4,5,,210,4.7,181,,
BMW ,iX3 ,SUV,360,Automatic,Electric,6100466.4,5,,180,6.8,206,,
Honda ,e ,Hatchback,170,Automatic,Electric,2958511.02,4,,145,9.5,168,,
Lucid ,Air ,Sedan,610,Automatic,Electric,9414300,5,,250,2.8,180,,
Volkswagen ,e-Golf ,Hatchback,190,Automatic,Electric,2860154,5,,150,9.6,168,,
Peugeot ,e-208 ,Hatchback,275,Automatic,Electric,2661288.12,5,,150,8.1,164,,
Tesla ,Model 3 Standard Range Plus,Sedan,310,Automatic,Electric,4158430.8,5,,225,5.6,153,,
Audi ,Q4 e-tron ,SUV,400,Automatic,Electric,4931300,5,,180,6.3,193,,
Mercedes ,EQC 400 4MATIC,SUV,370,Automatic,Electric,6229935.44,5,,180,5.1,216,,
Nissan ,Leaf ,Hatchback,220,Automatic,Electric,2621120.44,5,,144,7.9,164,,
Hyundai ,Kona Electric 64 kWh,SUV,400,Automatic,Electric,3657679.7,5,,167,7.9,160,,
BMW ,i4 ,Sedan,450,Automatic,Electric,5827900,5,,200,4,178,,
Hyundai ,IONIQ Electric,Liftback,250,Automatic,Electric,3089593.94,5,,165,9.7,153,,
Volkswagen ,ID.3 Pro S,Hatchback,440,Automatic,Electric,3670321.76,4,,160,7.9,175,,
Porsche ,Taycan Turbo S,Sedan,375,Automatic,Electric,16208824.46,4,,260,2.8,223,,
Volkswagen ,e-Up! ,Hatchback,195,Automatic,Electric,1920606.86,4,,130,11.9,166,,
MG ,ZS EV,SUV,220,Automatic,Electric,2689800,5,,140,8.2,193,,
Mini ,Cooper SE ,Hatchback,185,Automatic,Electric,2840518.46,4,,150,7.3,156,,
Opel ,Corsa-e ,Hatchback,275,Automatic,Electric,2613230.36,5,,150,8.1,164,,
Tesla ,Model Y Long Range Dual Motor,SUV,425,Automatic,Electric,5255869.2,7,,217,5.1,171,,
Skoda ,Enyaq iV 50,SUV,290,Automatic,Electric,3138100,5,,160,10,179,,
Audi ,e-tron GT ,Sedan,425,Automatic,Electric,11207500,4,,240,3.5,197,,
Tesla ,Model 3 Long Range Performance,Sedan,435,Automatic,Electric,5512296.8,5,,261,3.4,167,,
Volkswagen ,ID.4 ,SUV,420,Automatic,Electric,4034700,5,,160,7.5,183,,
Volkswagen ,ID.3 Pro,Hatchback,350,Automatic,Electric,2958780,5,,160,9,166,,
Volvo ,XC40 P8 AWD Recharge,SUV,375,Automatic,Electric,5418781.42,5,,180,4.9,200,,
BMW ,i3 120 Ah,Hatchback,235,Automatic,Electric,3408604.22,4,,150,7.3,161,,
Peugeot ,e-2008 SUV ,SUV,250,Automatic,Electric,3080807.26,5,,150,8.5,180,,
Audi ,e-tron 50 quattro,SUV,280,Automatic,Electric,6039318.28,5,,190,6.8,231,,
Kia ,e-Niro 64 kWh,SUV,370,Automatic,Electric,3416494.3,5,,167,7.8,173,,
Renault ,Zoe ZE50 R110,Hatchback,315,Automatic,Electric,2795957.44,5,,135,11.4,165,,
Tesla ,Cybertruck Tri Motor,Pickup,750,Automatic,Electric,6724500,6,,210,3,267,,
Mazda ,MX-30 ,SUV,180,Automatic,Electric,2927040.36,5,,150,9,178,,
Nissan ,Leaf e+,Hatchback,325,Automatic,Electric,3338669.42,5,,157,7.3,172,,
Lexus ,UX 300e,SUV,270,Automatic,Electric,4483000,5,,160,7.5,193,,
CUPRA ,el-Born ,Hatchback,425,Automatic,Electric,4034700,4,,160,6.5,181,,
Renault ,Zoe ZE50 R135,Hatchback,310,Automatic,Electric,2970704.78,5,,140,9.5,168,,
Mercedes ,EQA ,SUV,350,Automatic,Electric,4034700,5,,200,5,171,,
Tesla ,Model S Long Range,Liftback,515,Automatic,Electric,7171903.4,5,,250,3.8,184,,
Hyundai ,Kona Electric 39 kWh,SUV,255,Automatic,Electric,3045839.86,5,,155,9.9,154,,
Audi ,e-tron Sportback 55 quattro,SUV,380,Automatic,Electric,7319752.74,5,,200,5.7,228,,
Skoda ,CITIGOe iV ,Hatchback,195,Automatic,Electric,2199718.44,4,,130,12.3,166,,
SEAT ,Mii Electric ,Hatchback,195,Automatic,Electric,1804766.14,4,,130,12.3,166,,
Kia ,e-Soul 64 kWh,SUV,365,Automatic,Electric,3302805.42,5,,167,7.9,175,,
Opel ,Ampera-e ,MPV,335,Automatic,Electric,3757291.96,5,,150,7.3,173,,
Porsche ,Taycan 4S,Sedan,365,Automatic,Electric,9230048.7,4,,250,4,195,,
Lightyear ,One ,Liftback,575,Automatic,Electric,13359340,5,,150,10,104,,
Aiways ,U5 ,SUV,335,Automatic,Electric,3232870.62,5,,150,9,188,,
Audi ,e-tron 55 quattro,SUV,365,Automatic,Electric,7123038.7,5,,200,5.7,237,,
Tesla ,Roadster ,Cabrio,970,Automatic,Electric,19276900,4,,410,2.1,206,,
Opel ,Mokka-e ,SUV,255,Automatic,Electric,3138100,5,,150,8.5,176,,
Skoda ,Enyaq iV 80,SUV,420,Automatic,Electric,3586400,5,,160,8.8,183,,
Tesla ,Model X Long Range,SUV,450,Automatic,Electric,7709863.4,7,,250,4.6,211,,
Honda ,e Advance,Hatchback,170,Automatic,Electric,3220676.86,4,,145,8.3,168,,
DS ,3 Crossback E-Tense,SUV,250,Automatic,Electric,3355256.52,5,,150,8.7,180,,
Renault ,Twingo ZE,Hatchback,130,Automatic,Electric,2222671.4,4,,135,12.6,164,,
Citroen ,e-C4 ,SUV,250,Automatic,Electric,3586400,5,,150,9.7,180,,
Tesla ,Model S Performance,Liftback,505,Automatic,Electric,8696123.4,5,,261,2.5,188,,
Renault ,Zoe ZE40 R110,Hatchback,255,Automatic,Electric,2621120.44,5,,135,11.4,161,,
Tesla ,Model Y Long Range Performance,SUV,410,Automatic,Electric,5883489.2,7,,241,3.7,177,,
Nissan ,Ariya 87kWh,Hatchback,440,Automatic,Electric,4483000,5,,160,7.6,198,,
Jaguar ,I-Pace ,SUV,365,Automatic,Electric,6755970.66,5,,200,4.8,232,,
Ford ,Mustang Mach-E ER RWD,SUV,450,Automatic,Electric,4884228.5,5,,180,7,200,,
Porsche ,Taycan 4S Plus,Sedan,425,Automatic,Electric,9800017.32,4,,250,4,197,,
Nissan ,e-NV200 Evalia ,SPV,190,Automatic,Electric,2980836.36,7,,123,14,200,,
Tesla ,Cybertruck Dual Motor,Pickup,460,Automatic,Electric,4931300,6,,190,5,261,,
Renault ,Kangoo Maxi ZE 33,SPV,160,Automatic,Electric,3407080,5,,130,22.4,194,,
Ford ,Mustang Mach-E ER AWD,SUV,430,Automatic,Electric,5639614,5,,180,6,209,,
BMW ,i3s 120 Ah,Hatchback,230,Automatic,Electric,3723221.16,4,,160,6.9,165,,
Skoda ,Enyaq iV 80X,SUV,400,Automatic,Electric,4034700,5,,160,7,193,,
Porsche ,Taycan Cross Turismo ,Station,385,Automatic,Electric,13449000,4,,250,3.5,217,,
Byton ,M-Byte 95 kWh 4WD,SUV,390,Automatic,Electric,5738240,5,,190,5.5,244,,
Sono ,Sion ,Hatchback,225,Automatic,Electric,2286330,5,,140,9,156,,
Kia ,e-Niro 39 kWh,SUV,235,Automatic,Electric,3084304,5,,155,9.8,167,,
Audi ,Q4 Sportback e-tron ,SUV,410,Automatic,Electric,5155450,5,,180,6.3,188,,
Smart ,EQ forfour ,Hatchback,95,Automatic,Electric,1975209.8,4,,130,12.7,176,,
Ford ,Mustang Mach-E SR AWD,SUV,340,Automatic,Electric,4841640,5,,180,6,206,,
Porsche ,Taycan Turbo,Sedan,390,Automatic,Electric,13296667.66,4,,260,3.2,215,,
Volkswagen ,ID.3 1st,Hatchback,340,Automatic,Electric,3495574.42,5,,160,7.3,171,,
Tesla ,Model X Performance,SUV,440,Automatic,Electric,9234083.4,7,,250,2.8,216,,
Smart ,EQ fortwo coupe,Hatchback,100,Automatic,Electric,1917558.42,2,,130,11.6,167,,
Ford ,Mustang Mach-E SR RWD,SUV,360,Automatic,Electric,4205054,5,,180,6.6,194,,
Mercedes ,EQV 300 Long,SPV,330,Automatic,Electric,6332775.46,7,,140,10,273,,
Fiat ,500e Hatchback,Hatchback,250,Automatic,Electric,3129134,4,,150,9,168,,
Tesla ,Cybertruck Single Motor,Pickup,390,Automatic,Electric,4034700,6,,180,7,256,,
Audi ,e-tron Sportback 50 quattro,SUV,295,Automatic,Electric,6235942.66,5,,190,6.8,219,,
Skoda ,Enyaq iV vRS,SUV,400,Automatic,Electric,4258850,5,,180,6.2,193,,
Skoda ,Enyaq iV 60,SUV,320,Automatic,Electric,3362250,5,,160,9,181,,
Audi ,e-tron S 55 quattro,SUV,320,Automatic,Electric,8410108,5,,210,4.5,270,,
Smart ,EQ fortwo cabrio,Cabrio,95,Automatic,Electric,2202497.9,2,,130,11.9,176,,
Kia ,e-Soul 64 kWh,SUV,365,Automatic,Electric,3302805.42,5,,167,7.9,175,,
Nissan ,Ariya e-4ORCE 87kWh,Hatchback,420,Automatic,Electric,5155450,5,,200,5.7,207,,
Fiat ,500e Convertible,Cabrio,250,Automatic,Electric,3398114,4,,150,9,168,,
Volkswagen ,ID.3 Pro Performance,Hatchback,340,Automatic,Electric,3189654.5,5,,160,7.3,171,,
Kia ,e-Soul 39 kWh,SUV,230,Automatic,Electric,2970704.78,5,,157,9.9,170,,
Byton ,M-Byte 72 kWh 2WD,SUV,325,Automatic,Electric,4796810,5,,190,7.5,222,,
Nissan ,Ariya 63kWh,Hatchback,330,Automatic,Electric,4034700,5,,160,7.5,191,,
Audi ,e-tron S Sportback 55 quattro,SUV,335,Automatic,Electric,8611843,5,,210,4.5,258,,
Nissan ,Ariya e-4ORCE 63kWh,Hatchback,325,Automatic,Electric,4483000,5,,200,5.9,194,,
Nissan ,Ariya e-4ORCE 87kWh Performance,Hatchback,375,Automatic,Electric,5827900,5,,200,5.1,232,,
Byton ,M-Byte 95 kWh 2WD,SUV,400,Automatic,Electric,5558920,5,,190,7.5,238,,
